what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1716301357641
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1716301357843
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1716301358111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1716301359735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301360742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301466192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301469553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301480257
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716301482122
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1716301484745
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1716301484746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301486688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301487856
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1716301493763
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1716301493763
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1716301494498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301494713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301506907
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716301506919
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716301508622
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1716301508730
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1716301508735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301514953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301516901
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1716301516911
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1716301516912
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1716301517025
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716301517065
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1716301517137
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716301517200
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1716301517200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301536745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301561569
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716301561577
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1716301561780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301599833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716301757910
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716301792369
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716301801326
error,log,,,"Internal Error",1716301806799
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716301807352
