what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312458505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312469919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312471124
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716312471674
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1716312471681
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716312473406
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1716312473749
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1716312473758
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1716312476878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312479851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312481369
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1716312481428
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1716312481514
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716312481550
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1716312481620
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716312481680
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1716312481680
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716312488392
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1716312489750
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716312496838
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716312497013
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716312503144
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716312504694
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1716312505240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312509395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312574674
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1716312574887
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716312577465
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1716312577465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1716312577495
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1716312577495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312580244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312594533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716312594541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312597270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312598088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312607455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312659079
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1716312666188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312666861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716312673668
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716312675300
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716312675508
