what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313141816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313162859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313166473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313191444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313196560
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1716313202722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313202900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313207552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313227144
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1716313230726
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1716313230728
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1716313231807
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1716313231807
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1716313232679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313232791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313237710
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313239492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313239586
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1716313239630
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1716313239637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313245997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313246009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313248075
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1716313248191
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716313248334
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1716313248405
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313248459
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1716313248459
error,log,,,"Internal Error",1716313256083
error,log,,,"Internal Error",1716313256692
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716313256818
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313257234
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716313257411
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313262765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313264033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313277387
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716313278683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313286692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313289025
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1716313291312
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313293946
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1716313293946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1716313293976
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1716313293976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313297330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313349195
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716313350613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313355090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313356066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313361625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313362729
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716313363017
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313364716
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716313364900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313367556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313371086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313371095
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716313371123
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1716313371139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716313376538
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1716313376596
activated,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1716313381694
opened,view,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1716313382007
activated,view,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1716313382029
activated,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1716313384487
closed,view,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1716313384500
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1716313385785
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1716313387092
