what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1716310383410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310389354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310391384
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716310391396
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1716310391589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310422410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310486106
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1716310486122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1716310494560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310496210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310529036
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716310529048
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.TerminateAndRelaunch",1716310530571
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716310532215
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716310532387
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716310538603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310556509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310651847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310653744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310804767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310806566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310850922
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716310850927
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1716310851139
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1716310864918
error,log,,,"Internal Error",1716310865914
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716310868556
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1716310868556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1716310868583
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1716310868583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716310870553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311054513
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1716311060740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1716311070681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1716311070948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311076288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311087825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1716311091673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716311101133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311101555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311117660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311125287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311127630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311132183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311133287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716311134436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716311162361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311166547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311180054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1716311183296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311191891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311193801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716311196141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311196529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311198172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1716311211096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311218075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311230061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311230562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311232951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1716311236732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311238533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311248402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1716311251807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311253500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716311259441
